ID	Name	Formula	Compartment	CompartmentName	Boundary	LigandCompound	MetaCyc	ModelSeed	ChEBI
M_r658	5-carboxymethyl-2-hydroxymuconate		C_1	Cytoplasm	false				
M_r662	5'-deoxyadenosine		C_1	Cytoplasm	false				
M_r663	5-enolpyruvyl-shikimate-3-phosphate		C_1	Cytoplasm	false				
M_r667	5-hydroxyisourate		C_1	Cytoplasm	false				
M_r668	5-keto-4-deoxy-D-glucarate		C_1	Cytoplasm	false				
M_r669	5-ketogluconate		C_1	Cytoplasm	false				
M_r671	5-methyltetrahydropteroyltri-L-glutamate		C_1	Cytoplasm	false				
M_r672	5-methyl-THF		C_1	Cytoplasm	false				
M_r47	5-oxopentanoate		C_1	Cytoplasm	false				
M_r675	5-phospho-beta-D-ribosyl-amine		C_1	Cytoplasm	false				
M_r676	5-phosphoribosyl 1-pyrophosphate		C_1	Cytoplasm	false				
M_r677	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole		C_1	Cytoplasm	false				
M_r678	5-phospho-ribosyl-glycineamide		C_1	Cytoplasm	false				
M_r679	5'-phosphoribosyl-N-formylglycineamide		C_1	Cytoplasm	false				
M_r680	5-phosphoribosyl-N-formylglycineamidine		C_1	Cytoplasm	false				
M_r682	6-(2-amino-2-carboxyethyl)-7,8-dioxo-1,2,3,4,5,6,7,8-octahydroquinoline 2,4-dicarboxylate		C_1	Cytoplasm	false				
M_r684	6,7-dimethyl-8-(1-D-ribityl)lumazine		C_1	Cytoplasm	false				
M_r687	6-hydroxymethyl-dihydropterin		C_1	Cytoplasm	false				
M_r689	6-kestotriose		C_1	Cytoplasm	false				
M_r690	6-phospho-2-dehydro-D-gluconate		C_1	Cytoplasm	false				
M_r691	6-phospho-D-gluconate		C_1	Cytoplasm	false				
M_r693	6-pyruvoyltetrahydropterin		C_1	Cytoplasm	false				
M_r694	7,8-diaminopelargonate		C_1	Cytoplasm	false				
M_r695	7,8-dihydrofolate		C_1	Cytoplasm	false				
M_r696	7,8-dihydroneopterin 3'-triphosphate		C_1	Cytoplasm	false				
M_r697	7,8-dihydropteroate		C_1	Cytoplasm	false				
M_r698	7-keto-8-aminopelargonate		C_1	Cytoplasm	false				
M_r699	9-mercaptodethiobiotin		C_1	Cytoplasm	false				
M_r509	a protein-histidine		C_1	Cytoplasm	false				
M_r510	a protein-Ntau-phospho-L-histidine		C_1	Cytoplasm	false				
M_r467	a reduced cytochrome c		C_1	Cytoplasm	false				
M_r50	a reduced rubredoxin		C_1	Cytoplasm	false				
M_r496	a reduced thioredoxin		C_1	Cytoplasm	false				
M_r62	a ThiF protein		C_1	Cytoplasm	true				
M_r61	a ThiS persulfide		C_1	Cytoplasm	true				
M_r63	a ThiS sulfur-carrier protein		C_1	Cytoplasm	true				
M_r60	a ThiS-ThiF acyl-disulfide		C_1	Cytoplasm	true				
M_r716	acetaldehyde		C_1	Cytoplasm	false				
M_r93	acetate		C_3	External	true				
M_r199	acetate		C_3	External	true				
M_r717	acetate		C_1	Cytoplasm	false				
M_r718	acetate		C_2	Extracellular	false				
M_r719	acetoacetate		C_1	Cytoplasm	false				
M_r56	acetoacetylACP		C_1	Cytoplasm	false				
M_r721	acetoacetyl-CoA		C_1	Cytoplasm	false				
M_r722	acetone		C_1	Cytoplasm	false				
M_r723	acetone cyanohydrin		C_1	Cytoplasm	false				
M_r55	acetylACP		C_1	Cytoplasm	false				
M_r726	acetyl-CoA		C_1	Cytoplasm	false				
M_r727	acetyl-mannuronate		C_1	Cytoplasm	false				
M_r729	acetylphosphate		C_1	Cytoplasm	false				
M_r1	ACP		C_1	Cytoplasm	false				
M_r730	acrylamide		C_1	Cytoplasm	false				
M_r731	acrylate		C_1	Cytoplasm	false				
M_r732	acrylonitrile		C_1	Cytoplasm	false				
M_r733	acrylyl-CoA		C_1	Cytoplasm	false				
M_r734	adenine		C_1	Cytoplasm	false				
M_r735	adenosine		C_1	Cytoplasm	false				
M_r737	adenosine 5'-phosphosulfate		C_1	Cytoplasm	false				
M_r738	adenosine-3',5'-bisphosphate		C_1	Cytoplasm	false				
M_r740	adenosylcobinamide-GDP		C_1	Cytoplasm	false				
M_r741	adenosylcobinamide-P		C_1	Cytoplasm	false				
M_r742	adenosyl-cobyrate		C_1	Cytoplasm	false				
M_r743	adenosyl-cobyrinic acid a,c-diamide		C_1	Cytoplasm	false				
M_r744	adenylo-succinate		C_1	Cytoplasm	false				
M_r745	ADP		C_1	Cytoplasm	false				
M_r748	ADP-D-glycero-D-manno-heptose		C_1	Cytoplasm	false				
M_r749	ADP-L-glycero-D-manno-heptose		C_1	Cytoplasm	false				
M_r752	agmatine		C_1	Cytoplasm	false				
M_r753	AICAR		C_1	Cytoplasm	false				
M_r755	alginate		C_1	Cytoplasm	false				
M_r756	alginate		C_2	Extracellular	false				
M_r757	allantoate		C_1	Cytoplasm	false				
M_r94	allantoin		C_3	External	true				
M_r203	allantoin		C_3	External	true				
M_r760	allantoin		C_1	Cytoplasm	false				
M_r761	allantoin		C_2	Extracellular	false				
M_r766	all-trans-nonaprenyl diphosphate		C_1	Cytoplasm	false				
M_r412	alpha-carotene		C_1	Cytoplasm	false				
M_r647	alpha-D-galactose		C_1	Cytoplasm	false				
M_r869	alpha-D-glucose		C_1	Cytoplasm	false				
M_r980	alpha-D-glucose 1-phosphate		C_1	Cytoplasm	false				
M_r1091	alpha-D-glucose 6-phosphate		C_1	Cytoplasm	false				
M_r1202	alpha-D-mannose 1-phosphate		C_1	Cytoplasm	false				
M_r89	alpha-ketoglutarate		C_3	External	true				
M_r196	alpha-ketoglutarate		C_3	External	true				
M_r1313	alpha-ketoglutarate		C_1	Cytoplasm	false				
M_r1423	alpha-ketoglutarate		C_2	Extracellular	false				
M_r413	alpha-ribazole		C_1	Cytoplasm	false				
M_r521	alpha-ribazole-5'-P		C_1	Cytoplasm	false				
M_r769	aminoacetaldehyde		C_1	Cytoplasm	false				
M_r95	ammonia		C_3	External	true				
M_r204	ammonia		C_3	External	true				
M_r771	ammonia		C_1	Cytoplasm	false				
M_r772	ammonia		C_2	Extracellular	false				
M_r773	AMP		C_1	Cytoplasm	false				
M_r468	an oxidized cytochrome c		C_1	Cytoplasm	false				
M_r51	an oxidized rubredoxin		C_1	Cytoplasm	false				
M_r497	an oxidized thioredoxin		C_1	Cytoplasm	false				
M_r780	anthranilate		C_1	Cytoplasm	false				
M_r498	apo-[acp]		C_1	Cytoplasm	false				
M_r784	arsenite		C_1	Cytoplasm	false				
M_r786	asparaginyl-tRNAAsn		C_1	Cytoplasm	false				
M_r206	ATP		C_3	External	true				
M_r787	ATP		C_1	Cytoplasm	false				
M_r793	benzoate		C_1	Cytoplasm	false				
M_r559	beta-alanine		C_1	Cytoplasm	false				
M_r570	beta-D-galactose		C_1	Cytoplasm	false				
M_r111	beta-D-glucose		C_3	External	true				
M_r284	beta-D-glucose		C_2	Extracellular	false				
M_r581	beta-D-glucose		C_1	Cytoplasm	false				
M_r592	beta-D-glucose-6-phosphate		C_1	Cytoplasm	false				
M_r796	beta-hydroxydecanoyl-CoA		C_1	Cytoplasm	false				
M_r797	betaine aldehyde		C_1	Cytoplasm	false				
M_r648	beta-ketoadipate		C_1	Cytoplasm	false				
M_r659	beta-ketoadipate-enol-lactone		C_1	Cytoplasm	false				
M_r670	beta-ketoadipyl-CoA		C_1	Cytoplasm	false				
M_r349	BIOMASS		C_3	External	true				
M_r350	BIOMASS		C_1	Cytoplasm	false				
M_r799	biotin		C_1	Cytoplasm	false				
M_r389	but2eACP		C_1	Cytoplasm	false				
M_r410	butACP		C_1	Cytoplasm	false				
M_r802	butyrate		C_1	Cytoplasm	false				
M_r805	butyryl-CoA		C_1	Cytoplasm	false				
M_r191	Ca2+		C_3	External	true				
M_r809	Ca2+		C_1	Cytoplasm	false				
M_r810	Ca2+		C_2	Extracellular	false				
M_r49	cadaverine		C_1	Cytoplasm	false				
M_r811	canavanine		C_1	Cytoplasm	false				
M_r812	canavaninosuccinate		C_1	Cytoplasm	false				
M_r815	carbamoyl-phosphate		C_1	Cytoplasm	false				
M_r1541	carboxynorspermidine		C_1	Cytoplasm	false				
M_r817	catechol		C_1	Cytoplasm	false				
M_r411	cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)		C_1	Cytoplasm	false				
M_r819	CDP		C_1	Cytoplasm	false				
M_r355	CDP-1,2-didodecanoylglycerol		C_1	Cytoplasm	false				
M_r356	CDP-1,2-dihexadec-9-enoylglycerol		C_1	Cytoplasm	false				
M_r357	CDP-1,2-dihexadecanoylglycerol		C_1	Cytoplasm	false				
M_r358	CDP-1,2-dioctadec-11-enoylglycerol		C_1	Cytoplasm	false				
M_r360	CDP-1,2-dioctadecanoylglycerol		C_1	Cytoplasm	false				
M_r163	chloride		C_3	External	true				
M_r820	chloride		C_1	Cytoplasm	false				
M_r821	chloride		C_2	Extracellular	false				
M_r97	choline		C_3	External	true				
M_r208	choline		C_3	External	true				
M_r823	choline		C_1	Cytoplasm	false				
M_r826	choline		C_2	Extracellular	false				
M_r824	choline sulfate		C_1	Cytoplasm	false				
M_r1536	choline sulfate		C_2	Extracellular	false				
M_r1537	choline sulfate		C_3	External	true				
M_r1538	choline sulfate		C_3	External	true				
M_r827	chorismate		C_1	Cytoplasm	false				
M_r830	cis,cis-muconate		C_1	Cytoplasm	false				
M_r831	cis-aconitate		C_1	Cytoplasm	false				
M_r828	cis-Delta3-decenoyl-ACP		C_1	Cytoplasm	false				
M_r832	cis-dihydrodiol derivative of phenylacetyl-CoA		C_1	Cytoplasm	false				
M_r98	citrate		C_3	External	true				
M_r209	citrate		C_3	External	true				
M_r834	citrate		C_1	Cytoplasm	false				
M_r835	citrate		C_2	Extracellular	false				
M_r837	citrulline		C_1	Cytoplasm	false				
M_r190	cardiolipin (tetradodecanoyl, n-C12:0)		C_1	Cytoplasm	false				
M_r201	cardiolipin (tetrahexadecanoyl, n-C16:0)		C_1	Cytoplasm	false				
M_r212	cardiolipin (tetrahexadec-9-enoyl, n-C16:1)		C_1	Cytoplasm	false				
M_r224	cardiolipin (tetraoctadecanoyl, n-C18:0)		C_1	Cytoplasm	false				
M_r235	cardiolipin (tetraoctadec-11-enoyl, n-C18:1)		C_1	Cytoplasm	false				
M_r839	CMP		C_1	Cytoplasm	false				
M_r840	CMP-3-deoxy-D-manno-octulosonate		C_1	Cytoplasm	false				
M_r100	CO2		C_3	External	true				
M_r210	CO2		C_3	External	true				
M_r281	CO2		C_2	Extracellular	false				
M_r843	CO2		C_1	Cytoplasm	false				
M_r282	Co2+		C_2	Extracellular	false				
M_r844	Co2+		C_1	Cytoplasm	false				
M_r102	Co2+_		C_3	External	true				
M_r845	cob(I)alamin		C_1	Cytoplasm	false				
M_r846	cob(I)yrinic acid a,c-diamide		C_1	Cytoplasm	false				
M_r848	cob(II)yrinic acid a,c-diamide		C_1	Cytoplasm	false				
M_r850	coenzyme A		C_1	Cytoplasm	false				
M_r99	coenzyme B12		C_3	External	true				
M_r280	coenzyme B12		C_2	Extracellular	false				
M_r851	coenzyme B12		C_1	Cytoplasm	false				
M_r854	coproporphyrinogen III		C_1	Cytoplasm	false				
M_r855	coumarinate		C_1	Cytoplasm	false				
M_r856	coumarinic acid-beta-D-glucoside		C_1	Cytoplasm	false				
M_r246	cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)		C_1	Cytoplasm	false				
M_r257	cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)		C_1	Cytoplasm	false				
M_r268	cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)		C_1	Cytoplasm	false				
M_r279	cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)		C_1	Cytoplasm	false				
