ReactionID,Desctiption,Reversible,Virtual,Origin,Destination,Location (interface),SBO_key
R189_cm,Transport of 3-Aminopropanal,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R190_cp,Transport of 3-Aminopropanal,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R191_ec,Transport of R-S-Cysteinylglycine,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R192_cm,Transport of Butyryl-[acp],NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R193_cm,Transport of Hexanoyl-[acp],NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R194_cr,Transport of N4-Acetylaminobutanal,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R195_cm,Transport of N4-Acetylaminobutanal,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R196_cp,Transport of N4-Acetylaminobutanal,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R197_pc,Transport of L-erythro-4-Hydroxyglutamate,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R198_cr,Transport of (S)-Methylmalonate semialdehyde,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R199_cr,Transport of Aldophosphamide,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R200_cp,Transport of Aldophosphamide,NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R201_cp,"Transport of 1,7-Dimethylxanthine",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R202_cp,"Transport of (1R,2S)-Naphthalene 1,2-oxide",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R203_cp,"Transport of (1S,2R)-Naphthalene 1,2-oxide",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R204_cp,"Transport of 1-Nitronaphthalene-5,6-oxide",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R205_cp,"Transport of 1-Nitronaphthalene-7,8-oxide",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R206_cp,"Transport of Bromobenzene-3,4-oxide",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R207_rc,"Transport of Bromobenzene-3,4-oxide",NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R208_cp,"Transport of Bromobenzene-2,3-oxide",NO,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R209_rc,"Transport of Bromobenzene-2,3-oxide",NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R210_cm,Transport of Sulfur donor,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R226_ce,Na+/K+-exchanging ATPase,YES,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R227_cl,H+-transporting two-sector ATPase,NO,NO,cytosol,lysosome,lysosomal membrane,SBO:0000185
R228_mc,H+-transporting two-sector ATPase,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R229_cr,arsenite-transporting ATPase,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R230_ce,phospholipid-translocating ATPase,YES,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R231_mc,phospholipid-translocating ATPase,YES,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R232_ce,channel-conductance-controlling ATPase,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R234_cg,Cu2+-exporting ATPase,NO,NO,cytosol,Golgi,Golgi membrane,SBO:0000185
R235_cr,Ca2+-transporting ATPase,NO,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R236_ce,Ca2+-transporting ATPase,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R249_mc,NADPH:NAD+ oxidoreductase,NO,NO,mitochondria,cytosol,mitochondrial inner membrane,SBO:0000185
R936_cm,ATP:creatine N-phosphotransferase,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R1375_mc,"N6,N6,N6-Trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)",NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R2427_cm,Transport,YES,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R2428_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2429_ce,Transport,YES,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R2430_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2431_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2432_cm,Transport,YES,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R2433_cm,Transport,YES,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R2434_cm,Transport,NO,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R2435_ce,Transport,NO,NO,cytosol,extracellular,plasma membrane,SBO:0000185
R2436_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2437_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2438_lc,Transport,YES,NO,lysosome,cytosol,lysosomal membrane,SBO:0000185
R2439_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2440_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2441_cm,Transport,YES,NO,cytosol,mitochondria,mitochondrial membrane,SBO:0000185
R2442_cp,Transport,YES,NO,cytosol,peroxisome,peroxisomal membrane,SBO:0000185
R2443_ec,Transport,YES,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R2444_mc,Transport,YES,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R2445_pc,Transport,YES,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R2446_cg,Transport,YES,NO,cytosol,Golgi,Golgi membrane,SBO:0000185
R2447_cn,Transport,YES,NO,cytosol,nucleus,nuclear membrane,SBO:0000185
R2448_cr,Transport,YES,NO,cytosol,endoplasmic reticulum,endoplasmic reticulum membrane,SBO:0000185
R2449_lc,Transport,NO,NO,lysosome,cytosol,lysosomal membrane,SBO:0000185
